businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError
"Distributed Solar Operations, LLC","distributed solar operations","44","4","3","2023-12-14","2025-11-04","White Plains | Port Chester | West Harrison | Monroe | Bloomingburg | Walden | New Hampton | Swan Lake","Westchester | Orange | Sullivan | Ulster | Dutchess | Rensselaer | St Lawrence | Schenectady","85","Find official domain, then audit careers/jobs pages for detailed solar offers.","distributed solar operations","","","","","no_official_domain_candidate",""
"Park Avenue Solar Solutions, LLC","park avenue solar solutions","4","4","2","2025-01-30","","Brooklyn | Germantown | Rensselaer | Mechanicville","Kings | Columbia | Rensselaer | Saratoga","42","Find official domain, then audit careers/jobs pages for detailed solar offers.","park avenue solar solutions","","","","","no_official_domain_candidate",""
"Sky Solar Inc.","sky solar","4","4","0","2021-10-20","","Freehold | New Paltz | Saratoga Springs","Greene | Ulster | Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","sky solar","skysolar.us","https://skysolar.us","Sky Solar","","candidate_found",""
"Kamtech Restoration Corp","kamtech restoration","2929","3","1738","2026-06-29","2026-07-29","Patchogue | Southampton | Jamaica | Queens | Rosedale | East Hampton | RICHMOND HILL | Richmond Hill","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester","5288","Find official domain, then audit careers/jobs pages for detailed solar offers.","kamtech restoration","","","","","no_official_domain_candidate",""
"Solar Liberty","solar liberty","1125","3","490","2026-03-07","2026-07-24","Woodside | Long Island City | Brooklyn | Bronx | New York | Tuckahoe | Yonkers | Larchmont","Queens | Kings | Bronx | New York | Westchester | Putnam | Sullivan | Orange","1544","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar liberty","solarliberty.com","https://solarliberty.com","Solar Liberty","","candidate_found",""
"Active Solar Development, LLC","active solar development","106","3","17","2026-06-17","2026-05-05","New Windsor | Rensselaerville | West Fulton | West Coxsackie | Castleton on Hudson | Troy | Rensselaer | Schaghticoke","Orange | Albany | Schoharie | Greene | Rensselaer | Schenectady | Fulton | Saratoga","125","Find official domain, then audit careers/jobs pages for detailed solar offers.","active solar development","","","","","no_official_domain_candidate",""
"Pivot Energy Development LLC","pivot energy development","20","3","10","2024-01-06","2026-02-19","Flushing | Brooklyn | Bronx | Purchase | Evans Mills | Ticonderoga | Ogdensburg | Pulaski","Queens | Kings | Bronx | Westchester | Jefferson | Essex | St Lawrence | Oswego","74","Find official domain, then audit careers/jobs pages for detailed solar offers.","pivot energy development","","","","","no_official_domain_candidate",""
"38DN Contracting, LLC","38dn contracting","7","3","4","2026-06-17","2026-05-07","Wallkill | East Greenbush | Glenmont | Fulton | Skaneateles | New Hartford","Ulster | Rensselaer | Albany | Oswego | Onondaga | Oneida","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","contracting","1901contracting.com","https://1901contracting.com","1901 Contracting","","candidate_found",""
"ClearPath Energy LLC","clearpath energy","10","3","3","2026-02-18","2025-06-30","Monticello | Lowville | Tully | Little Falls | Poland | Corning","Sullivan | Lewis | Onondaga | Herkimer | Oneida | Steuben","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","clearpath energy","clearpath.energy","https://clearpath.energy","ClearPath Energy","","candidate_found",""
"Cipriani Energy Group Corp.","cipriani energy group","8","3","3","2026-04-10","2026-05-19","Plattsburgh | Malone | Champlain | Crown Point | Johnstown | Cortland","Clinton | Franklin | Essex | Montgomery | Cortland","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","cipriani energy group","ciprianienergygroup.com","https://ciprianienergygroup.com","Cipriani Energy Group","","candidate_found",""
"Lodestar Energy","lodestar energy","6","3","3","2025-04-24","2021-06-16","New Windsor | Spencer | Johnson City | Nichols","Orange | Tioga | Broome","39","Find official domain, then audit careers/jobs pages for detailed solar offers.","lodestar energy","lodestarenergy.com","https://lodestarenergy.com","Lodestar Energy","","candidate_found",""
"DVM Industries LLC","dvm industries","3","3","3","2026-05-18","","Long Island City | New York","Queens | New York","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","dvm industries","dvmindustries.us","https://dvmindustries.us","DVM Industries","","candidate_found",""
"Elecnor Hawkeye LLC","elecnor hawkeye","3","3","3","2026-04-10","","Selkirk | Gansevoort | Homer","Albany | Saratoga | Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","elecnor hawkeye","elecnorhawkeye.com","https://elecnorhawkeye.com","Elecnor Hawkeye","","candidate_found",""
"TJA Clean Energy, LLC","tja clean energy","3","3","3","2026-01-17","","Hoosick Falls | Whitesboro","Rensselaer | Oneida","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","tja clean energy","","","","","no_official_domain_candidate",""
"Kruger Energy (USA) Inc.","kruger energy usa","3","3","3","2024-05-31","","Rexford | Ballston Spa","Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","kruger energy usa","","","","","no_official_domain_candidate",""
"Coral Reef Partners, LLC","coral reef partners","3","3","3","2025-11-21","","Cortland","Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","coral reef partners","coralreefpartners.com","https://coralreefpartners.com","Coral Reef","","candidate_found",""
"Standard Solar Inc","standard solar","19","3","2","2025-10-15","2025-10-30","Yonkers | Goshen | Slingerlands | Lowville | Philadelphia | Turin | Glenfield | Canastota","Westchester | Orange | Albany | Lewis | Jefferson | Madison | Niagara | Erie","49","Find official domain, then audit careers/jobs pages for detailed solar offers.","standard solar","standardsolar.com","https://standardsolar.com","Standard Solar","","candidate_found",""
"Genie Solar, Inc.","genie solar","3","3","2","2026-03-26","","Delhi | Lansing | Perry","Delaware | Tompkins | Wyoming","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","genie solar","geniesolar.com","https://geniesolar.com","GENIE SOLAR","","candidate_found",""
"Community Power Group, LLC","community power group","3","3","2","2025-12-10","","Fort Edward | Arkport","Washington | Steuben","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","community power group","communitypowergroup.com","https://communitypowergroup.com","Community Power Group","","candidate_found",""
"CleanChoice Energy","cleanchoice energy","3","3","2","2025-12-10","","Little Falls | Clymer | Wellsville","Herkimer | Chautauqua | Allegany","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","cleanchoice energy","cleanchoiceenergy.com","https://cleanchoiceenergy.com","CleanChoice Energy","","candidate_found",""
"CVE North America, Inc.","cve north america","14","3","1","2024-02-28","2025-04-09","Troy | Queensbury | Manlius | Albion | Sanborn | Brockport | Ransomville | Fredonia","Rensselaer | Warren | Onondaga | Orleans | Niagara | Monroe | Chautauqua","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","cve north america","cvenorthamerica.com","https://cvenorthamerica.com","CVE North America","","candidate_found",""
"New Leaf Energy, Inc.","new leaf energy","3","3","1","2023-11-04","","Worcester | Mc Donough","Otsego | Chenango","30","Find official domain, then audit careers/jobs pages for detailed solar offers.","new leaf energy","newleafenergy.com","https://newleafenergy.com","New Leaf Energy","","candidate_found",""
"Source Renewables LLC","source renewables","3","3","1","2025-12-10","","Homer | Buffalo","Cortland | Erie","30","Find official domain, then audit careers/jobs pages for detailed solar offers.","source renewables","sourcerenew.com","https://sourcerenew.com","Source Renewables","","candidate_found",""
"THE GREEN PLUG LLC","the green plug","78","2","78","2026-07-17","2026-07-30","Queens | Brooklyn | Glen Oaks | Jamaica | Queens Village | East Meadow | Roslyn Heights | Floral Park","Queens | Kings | Nassau | Richmond | Bronx | Suffolk | New York","300","Find official domain, then audit careers/jobs pages for detailed solar offers.","the green plug","","","","","no_official_domain_candidate",""
"EVERGREEN ENERGY","evergreen energy","11","2","6","2026-01-21","2026-05-26","Brooklyn | Maspeth | Goshen | Lake Katrine","Kings | Queens | Orange | Ulster","45","Find official domain, then audit careers/jobs pages for detailed solar offers.","evergreen energy","evergreen-energy.com","https://evergreen-energy.com","Evergreen Energy","","candidate_found",""
"Zuvan Renewables","zuvan renewables","3","2","3","2026-05-06","2025-09-30","Brooklyn | Bronx","Kings | Bronx","28","Find official domain, then audit careers/jobs pages for detailed solar offers.","zuvan renewables","zuvanrenewables.com","https://zuvanrenewables.com","Zuvan Renewables","","candidate_found",""
"YOU SAVE GREEN INC","you save green","626","2","2","2023-01-13","2023-03-08","Shoreham | Mastic | Selden | Shirley | Centereach | East Setauket | Rocky Point | Mastic Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","72","Find official domain, then audit careers/jobs pages for detailed solar offers.","you save green","","","","","no_official_domain_candidate",""
"C-TEC Solar LLC","c tec solar","3","2","2","2025-03-05","2017-10-03","New Lebanon | Delanson | Geneva","Columbia | Schenectady | Ontario","25","Find official domain, then audit careers/jobs pages for detailed solar offers.","tec solar","","","","","no_official_domain_candidate",""
"DG New York CS, LLC","dg new york cs","59","2","1","2023-11-29","2026-05-19","Otisville | Middletown | New Hampton | Hudson | Schaghticoke | Altamont | Troy | Clayton","Orange | Columbia | Rensselaer | Albany | Jefferson | Essex | Cortland | Onondaga","69","Find official domain, then audit careers/jobs pages for detailed solar offers.","new york","nypost.com","https://nypost.com","New York Post","","candidate_found",""
"Algonquin Power Fund (America) Inc.","algonquin power fund america","6","2","1","2023-12-13","2025-11-13","Hartsdale | Cortlandt Manor | De Kalb Junction | Olean | Allegany","Westchester | St Lawrence | Cattaraugus","25","Find official domain, then audit careers/jobs pages for detailed solar offers.","algonquin power fund america","","","","","no_official_domain_candidate",""
"Emeren US LLC","emeren us","5","2","1","2025-10-31","2025-10-20","Middle Grove | Rome | Munnsville | Arkport | Whitesville","Saratoga | Oneida | Madison | Steuben | Allegany","24","Find official domain, then audit careers/jobs pages for detailed solar offers.","emeren","","","","","no_official_domain_candidate",""
"SunPower Corporation, Systems","sunpower systems","4","2","0","2021-03-10","2021-01-08","Melville | Jamaica | Staten Island","Suffolk | Queens | Richmond","20","Find official domain, then audit careers/jobs pages for detailed solar offers.","sunpower corporation systems","","","","","no_official_domain_candidate",""
