businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep,clearbitQuery,candidateDomain,candidateUrl,candidateTitle,candidateSnippet,discoveryStatus,discoveryError,homepageUrl,careerUrls,detailJobUrls,careerPageFound,atsDetected,jobPostingDetected,detailedJobCount,auditStatus,auditNote
"Solar Liberty","solar liberty","1125","3","490","2026-03-07","2026-07-24","Woodside | Long Island City | Brooklyn | Bronx | New York | Tuckahoe | Yonkers | Larchmont","Queens | Kings | Bronx | New York | Westchester | Putnam | Sullivan | Orange","1544","Find official domain, then audit careers/jobs pages for detailed solar offers.","solar liberty","solarliberty.com","https://solarliberty.com","Solar Liberty","","candidate_found","","https://solarliberty.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"38DN Contracting, LLC","38dn contracting","7","3","4","2026-06-17","2026-05-07","Wallkill | East Greenbush | Glenmont | Fulton | Skaneateles | New Hartford","Ulster | Rensselaer | Albany | Oswego | Onondaga | Oneida","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","contracting","1901contracting.com","https://1901contracting.com","1901 Contracting","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"ClearPath Energy LLC","clearpath energy","10","3","3","2026-02-18","2025-06-30","Monticello | Lowville | Tully | Little Falls | Poland | Corning","Sullivan | Lewis | Onondaga | Herkimer | Oneida | Steuben","43","Find official domain, then audit careers/jobs pages for detailed solar offers.","clearpath energy","clearpath.energy","https://clearpath.energy","ClearPath Energy","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Cipriani Energy Group Corp.","cipriani energy group","8","3","3","2026-04-10","2026-05-19","Plattsburgh | Malone | Champlain | Crown Point | Johnstown | Cortland","Clinton | Franklin | Essex | Montgomery | Cortland","41","Find official domain, then audit careers/jobs pages for detailed solar offers.","cipriani energy group","ciprianienergygroup.com","https://ciprianienergygroup.com","Cipriani Energy Group","","candidate_found","","https://ciprianienergygroup.com/","https://ciprianienergygroup.com/career-2/","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Lodestar Energy","lodestar energy","6","3","3","2025-04-24","2021-06-16","New Windsor | Spencer | Johnson City | Nichols","Orange | Tioga | Broome","39","Find official domain, then audit careers/jobs pages for detailed solar offers.","lodestar energy","lodestarenergy.com","https://lodestarenergy.com","Lodestar Energy","","candidate_found","","https://lodestarenergy.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"DVM Industries LLC","dvm industries","3","3","3","2026-05-18","","Long Island City | New York","Queens | New York","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","dvm industries","dvmindustries.us","https://dvmindustries.us","DVM Industries","","candidate_found","","https://dvmindustries.us/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
"Elecnor Hawkeye LLC","elecnor hawkeye","3","3","3","2026-04-10","","Selkirk | Gansevoort | Homer","Albany | Saratoga | Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","elecnor hawkeye","elecnorhawkeye.com","https://elecnorhawkeye.com","Elecnor Hawkeye","","candidate_found","","","","","false","false","false","0","audit_error","Homepage could not be fetched as HTML."
"Coral Reef Partners, LLC","coral reef partners","3","3","3","2025-11-21","","Cortland","Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers.","coral reef partners","coralreefpartners.com","https://coralreefpartners.com","Coral Reef","","candidate_found","","https://www.coralreefpartners.com/","https://www.coralreefpartners.com/careers","","true","false","false","0","rejected_insufficient_detailed_jobs","Found 0 detailed job page(s); requires at least 3."
"Standard Solar Inc","standard solar","19","3","2","2025-10-15","2025-10-30","Yonkers | Goshen | Slingerlands | Lowville | Philadelphia | Turin | Glenfield | Canastota","Westchester | Orange | Albany | Lewis | Jefferson | Madison | Niagara | Erie","49","Find official domain, then audit careers/jobs pages for detailed solar offers.","standard solar","standardsolar.com","https://standardsolar.com","Standard Solar","","candidate_found","","https://standardsolar.com/","https://standardsolar.com/company/careers/","","true","true","false","0","rejected_ats","Known ATS reference found on career page."
"Genie Solar, Inc.","genie solar","3","3","2","2026-03-26","","Delhi | Lansing | Perry","Delaware | Tompkins | Wyoming","33","Find official domain, then audit careers/jobs pages for detailed solar offers.","genie solar","geniesolar.com","https://geniesolar.com","GENIE SOLAR","","candidate_found","","https://www.geniesolar.com/","","","false","false","false","0","rejected_no_career_page","No provider-hosted Careers/Jobs link found on homepage."
