businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep
"Delaware River Solar, LLC","delaware river solar","18","7","7","2026-05-20","2024-12-19","Winfield | Erwin | Corning | Callicoon | Monticello | Woodridge | Narrowsburg | Dryden","Herkimer | Steuben | Sullivan | Tompkins | Chemung | Onondaga | Tioga | Oneida","95","Find official domain, then audit careers/jobs pages for detailed solar offers."
"NYSS LLC","nyss","1814","6","1496","2026-06-16","2026-07-30","Richmond Hill | Queens | Woodside | Melville | Babylon | Copiague | Central Islip | Blue Point","Queens | Suffolk | Nassau | Kings | Richmond | Bronx | New York | Westchester","4586","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sustainable Energy Developments (DBA GreenSpark Solar)","sustainable energy developments dba greenspark solar","1524","6","433","2026-04-21","2026-07-24","Canandaigua | Sodus | Webster | Macedon | Ontario | Weedsport | Walworth | Williamson","Ontario | Wayne | Monroe | Cayuga | Onondaga | Tompkins | Oneida | Otsego","1397","Find official domain, then audit careers/jobs pages for detailed solar offers."
"ASA Holdings NY I LLC (dba for Puresky HoldCo, Inc)","asa holdings ny i dba for puresky holdco","34","6","6","2025-04-24","2026-04-16","Castleton on Hudson | Troy | Hudson | Nassau | Corinth | Clayton | Richville | Hermon","Rensselaer | Columbia | Saratoga | Jefferson | St Lawrence | Warren | Schenectady | Oneida","100","Find official domain, then audit careers/jobs pages for detailed solar offers."
"AES Distributed Energy, Inc.","aes distributed energy","39","6","2","2025-12-10","2026-07-13","Middletown | Otisville | Goshen | Walden | Montgomery | Rock Tavern | Pleasant Valley | Troy","Orange | Dutchess | Rensselaer | Washington | Columbia | Schenectady | Jefferson | Saratoga","93","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Emes Solar","emes solar","230","5","124","2026-05-08","2026-06-22","Far Rockaway | Atlantic Beach | Lawrence | Oakland Gardens | Long Beach | South Richmond Hill | Bayside | Flushing","Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester | Rockland","462","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Montante Solar","montante solar","100","5","30","2026-03-06","2026-03-19","Montgomery | Vernon | East Syracuse | Webster | Buffalo | Tonawanda | Albion | Niagara Falls","Orange | Oneida | Onondaga | Monroe | Erie | Orleans | Niagara | Chautauqua","180","Find official domain, then audit careers/jobs pages for detailed solar offers."
"U.S. Light Energy (dba for Solitude Solar, LLC)","u s light energy dba for solitude solar","9","5","5","2025-04-24","2022-09-23","Bloomingburg | Selkirk | Carthage | Chateaugay | Rexford | Red Creek | Albion","Orange | Albany | Jefferson | Franklin | Saratoga | Lewis | Cayuga | Orleans","64","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Haugland Energy LLC","haugland energy","5","5","5","2025-08-15","","Staten Island","Richmond","60","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Group-S LLC dba EN-POWER GROUP","group s dba en power group","5","5","0","2021-12-01","","Glen Oaks | Bellerose","Queens","45","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Urban Energy Inc.","urban energy","18","4","7","2024-04-19","2024-12-12","Astoria | East Elmhurst | Brooklyn | Staten Island | Bronx | New York | Yonkers | Tuckahoe","Queens | Kings | Richmond | Bronx | New York | Westchester","71","Find official domain, then audit careers/jobs pages for detailed solar offers."
"IPPsolar Integration LLC","ippsolar integration","13","4","7","2024-12-11","2026-03-16","Bronx | Bedford | Yorktown Heights | Baldwin Place | Brewster | Purchase | Orangeburg | Cuddebackville","Bronx | Westchester | Putnam | Rockland | Orange | Ulster | Dutchess","66","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Wildcat Renewables, LLC","wildcat renewables","11","4","4","2025-11-21","2024-09-12","Stuyvesant | Gouverneur | Oswego | East Syracuse | Lockport | Batavia | East Aurora | Marilla","Columbia | St Lawrence | Oswego | Onondaga | Niagara | Genesee | Erie","55","Find official domain, then audit careers/jobs pages for detailed solar offers."
"KSI III Devco, LLC","ksi iii devco","8","4","4","2025-12-10","2026-05-01","Stephentown | Glens Falls | Newfield | Palatine Bridge | Henrietta | Cassadaga | Ellicottville | Fredonia","Rensselaer | Warren | Tompkins | Montgomery | Monroe | Chautauqua | Cattaraugus","52","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Finlo Solar","finlo solar","4","4","4","2025-06-04","","Kerhonkson | Whitesboro","Ulster | Oneida","48","Find official domain, then audit careers/jobs pages for detailed solar offers."
"AC Power, LLC","ac power","4","4","4","2026-03-26","","Queensbury | Syracuse | Depew | Tonawanda","Warren | Onondaga | Erie","48","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Distributed Solar Operations, LLC","distributed solar operations","44","4","3","2023-12-14","2025-11-04","White Plains | Port Chester | West Harrison | Monroe | Bloomingburg | Walden | New Hampton | Swan Lake","Westchester | Orange | Sullivan | Ulster | Dutchess | Rensselaer | St Lawrence | Schenectady","85","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Park Avenue Solar Solutions, LLC","park avenue solar solutions","4","4","2","2025-01-30","","Brooklyn | Germantown | Rensselaer | Mechanicville","Kings | Columbia | Rensselaer | Saratoga","42","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sky Solar Inc.","sky solar","4","4","0","2021-10-20","","Freehold | New Paltz | Saratoga Springs","Greene | Ulster | Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Kamtech Restoration Corp","kamtech restoration","2929","3","1738","2026-06-29","2026-07-29","Patchogue | Southampton | Jamaica | Queens | Rosedale | East Hampton | RICHMOND HILL | Richmond Hill","Suffolk | Queens | Nassau | Kings | Richmond | Bronx | New York | Westchester","5288","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Liberty","solar liberty","1125","3","490","2026-03-07","2026-07-24","Woodside | Long Island City | Brooklyn | Bronx | New York | Tuckahoe | Yonkers | Larchmont","Queens | Kings | Bronx | New York | Westchester | Putnam | Sullivan | Orange","1544","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Active Solar Development, LLC","active solar development","106","3","17","2026-06-17","2026-05-05","New Windsor | Rensselaerville | West Fulton | West Coxsackie | Castleton on Hudson | Troy | Rensselaer | Schaghticoke","Orange | Albany | Schoharie | Greene | Rensselaer | Schenectady | Fulton | Saratoga","125","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Pivot Energy Development LLC","pivot energy development","20","3","10","2024-01-06","2026-02-19","Flushing | Brooklyn | Bronx | Purchase | Evans Mills | Ticonderoga | Ogdensburg | Pulaski","Queens | Kings | Bronx | Westchester | Jefferson | Essex | St Lawrence | Oswego","74","Find official domain, then audit careers/jobs pages for detailed solar offers."
"38DN Contracting, LLC","38dn contracting","7","3","4","2026-06-17","2026-05-07","Wallkill | East Greenbush | Glenmont | Fulton | Skaneateles | New Hartford","Ulster | Rensselaer | Albany | Oswego | Onondaga | Oneida","43","Find official domain, then audit careers/jobs pages for detailed solar offers."
"ClearPath Energy LLC","clearpath energy","10","3","3","2026-02-18","2025-06-30","Monticello | Lowville | Tully | Little Falls | Poland | Corning","Sullivan | Lewis | Onondaga | Herkimer | Oneida | Steuben","43","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Cipriani Energy Group Corp.","cipriani energy group","8","3","3","2026-04-10","2026-05-19","Plattsburgh | Malone | Champlain | Crown Point | Johnstown | Cortland","Clinton | Franklin | Essex | Montgomery | Cortland","41","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Lodestar Energy","lodestar energy","6","3","3","2025-04-24","2021-06-16","New Windsor | Spencer | Johnson City | Nichols","Orange | Tioga | Broome","39","Find official domain, then audit careers/jobs pages for detailed solar offers."
"DVM Industries LLC","dvm industries","3","3","3","2026-05-18","","Long Island City | New York","Queens | New York","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Elecnor Hawkeye LLC","elecnor hawkeye","3","3","3","2026-04-10","","Selkirk | Gansevoort | Homer","Albany | Saratoga | Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"TJA Clean Energy, LLC","tja clean energy","3","3","3","2026-01-17","","Hoosick Falls | Whitesboro","Rensselaer | Oneida","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Kruger Energy (USA) Inc.","kruger energy usa","3","3","3","2024-05-31","","Rexford | Ballston Spa","Saratoga","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Coral Reef Partners, LLC","coral reef partners","3","3","3","2025-11-21","","Cortland","Cortland","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Standard Solar Inc","standard solar","19","3","2","2025-10-15","2025-10-30","Yonkers | Goshen | Slingerlands | Lowville | Philadelphia | Turin | Glenfield | Canastota","Westchester | Orange | Albany | Lewis | Jefferson | Madison | Niagara | Erie","49","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Genie Solar, Inc.","genie solar","3","3","2","2026-03-26","","Delhi | Lansing | Perry","Delaware | Tompkins | Wyoming","33","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Community Power Group, LLC","community power group","3","3","2","2025-12-10","","Fort Edward | Arkport","Washington | Steuben","33","Find official domain, then audit careers/jobs pages for detailed solar offers."
"CleanChoice Energy","cleanchoice energy","3","3","2","2025-12-10","","Little Falls | Clymer | Wellsville","Herkimer | Chautauqua | Allegany","33","Find official domain, then audit careers/jobs pages for detailed solar offers."
"CVE North America, Inc.","cve north america","14","3","1","2024-02-28","2025-04-09","Troy | Queensbury | Manlius | Albion | Sanborn | Brockport | Ransomville | Fredonia","Rensselaer | Warren | Onondaga | Orleans | Niagara | Monroe | Chautauqua","41","Find official domain, then audit careers/jobs pages for detailed solar offers."
"New Leaf Energy, Inc.","new leaf energy","3","3","1","2023-11-04","","Worcester | Mc Donough","Otsego | Chenango","30","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Source Renewables LLC","source renewables","3","3","1","2025-12-10","","Homer | Buffalo","Cortland | Erie","30","Find official domain, then audit careers/jobs pages for detailed solar offers."
"THE GREEN PLUG LLC","the green plug","78","2","78","2026-07-17","2026-07-30","Queens | Brooklyn | Glen Oaks | Jamaica | Queens Village | East Meadow | Roslyn Heights | Floral Park","Queens | Kings | Nassau | Richmond | Bronx | Suffolk | New York","300","Find official domain, then audit careers/jobs pages for detailed solar offers."
"EVERGREEN ENERGY","evergreen energy","11","2","6","2026-01-21","2026-05-26","Brooklyn | Maspeth | Goshen | Lake Katrine","Kings | Queens | Orange | Ulster","45","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Zuvan Renewables","zuvan renewables","3","2","3","2026-05-06","2025-09-30","Brooklyn | Bronx","Kings | Bronx","28","Find official domain, then audit careers/jobs pages for detailed solar offers."
"YOU SAVE GREEN INC","you save green","626","2","2","2023-01-13","2023-03-08","Shoreham | Mastic | Selden | Shirley | Centereach | East Setauket | Rocky Point | Mastic Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","72","Find official domain, then audit careers/jobs pages for detailed solar offers."
"C-TEC Solar LLC","c tec solar","3","2","2","2025-03-05","2017-10-03","New Lebanon | Delanson | Geneva","Columbia | Schenectady | Ontario","25","Find official domain, then audit careers/jobs pages for detailed solar offers."
"DG New York CS, LLC","dg new york cs","59","2","1","2023-11-29","2026-05-19","Otisville | Middletown | New Hampton | Hudson | Schaghticoke | Altamont | Troy | Clayton","Orange | Columbia | Rensselaer | Albany | Jefferson | Essex | Cortland | Onondaga","69","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Algonquin Power Fund (America) Inc.","algonquin power fund america","6","2","1","2023-12-13","2025-11-13","Hartsdale | Cortlandt Manor | De Kalb Junction | Olean | Allegany","Westchester | St Lawrence | Cattaraugus","25","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Emeren US LLC","emeren us","5","2","1","2025-10-31","2025-10-20","Middle Grove | Rome | Munnsville | Arkport | Whitesville","Saratoga | Oneida | Madison | Steuben | Allegany","24","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SunPower Corporation, Systems","sunpower systems","4","2","0","2021-03-10","2021-01-08","Melville | Jamaica | Staten Island","Suffolk | Queens | Richmond","20","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Empire Solar Solutions, LLC","empire solar solutions","4392","1","2393","2026-04-29","2026-07-28","Ancram | Mattituck | Selden | Ridge | Holbrook | East Hampton | Hampton Bays | Mastic Beach","Columbia | Suffolk | Queens | Nassau | Kings | Richmond | Bronx | Westchester","7237","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Brooklyn SolarWorks, LLC","brooklyn solarworks","2998","1","1356","2026-05-20","2026-07-30","Queens | Brooklyn | MASPETH | BROOKLYN | Bayside | Flushing | Richmond Hill | Far Rockaway","Queens | Kings | Richmond | New York | Bronx","4126","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Long Island Power Solutions","long island power solutions","2665","1","1273","2026-06-19","2026-07-30","Wading River | Rocky Point | Ridge | Riverhead | Medford | Selden | Yaphank | Sound Beach","Suffolk | Westchester | Nassau | Queens | Kings | Richmond | Bronx | Rockland","3877","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Venture Home Solar, LLC","venture home solar","4327","1","1205","2026-06-17","2026-07-30","Shoreham | Shirley | East Hampton | Rocky Point | Manorville | Centereach | Farmingville | Westhampton","Suffolk | Richmond | Queens | Nassau | Kings | Bronx | New York | Westchester","3673","Find official domain, then audit careers/jobs pages for detailed solar offers."
"NYS Essential Power","nys essential power","1150","1","1146","2026-05-12","2026-07-31","South New Berlin | Westhampton Beach | Mastic | East Hampton | Ronkonkoma | Centereach | Yaphank | Patchogue","Chenango | Suffolk | Cattaraugus | Nassau | Queens | Kings | Richmond | Bronx","3496","Find official domain, then audit careers/jobs pages for detailed solar offers."
"New York State Solar Farm","new york state solar farm","1778","1","884","2026-04-18","2026-07-29","North Salem | Scarsdale | Tarrytown | Tuckahoe | White Plains | New Rochelle | Bronxville | Pleasantville","Westchester | Putnam | Rockland | Orange | Sullivan | Delaware | Ulster | Dutchess","2710","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Mpower Solar LLC","mpower solar","661","1","632","2025-09-18","2026-07-08","Fresh Meadows | Jamaica | Whitestone | Richmond Hill | South Richmond Hill | Ozone Park | Bayside | Oakland Gardens","Queens | Kings | Richmond | Bronx | Westchester | Rockland","1954","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Tesla Energy Operations Inc.","tesla energy operations","17514","1","490","2026-07-04","2026-07-31","Medford | Port Jefferson Station | Patchogue | Center Moriches | Centereach | Mastic Beach | Ridge | Rocky Point","Suffolk | Putnam | Nassau | Queens | Richmond | Bronx | Westchester | Rockland","1528","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Voltaic Solaire","voltaic solaire","357","1","283","2026-06-02","2026-07-06","Jamaica | Saint Albans | South Ozone Park | Howard Beach | Kew Gardens | South Richmond Hill | Richmond Hill | Queens Village","Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland | Orange","907","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Onsite Energy, Inc.","onsite energy","220","1","211","2026-07-21","2026-07-13","Jamaica | Glen Oaks | Fresh Meadows | Springfield Gardens | Hollis | South Ozone Park | Ridgewood | Brooklyn","Queens | Kings | Richmond | Bronx | Westchester | Rockland | Putnam | Orange","691","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Lighthouse Solar (dba for Sun Source Technologies)","lighthouse solar dba for sun source technologies","491","1","176","2026-02-19","2026-07-24","Garrison | Cold Spring | Carmel | Croton on Hudson | South Salem | Katonah | Brewster | Valley Cottage","Putnam | Westchester | Rockland | Sullivan | Orange | Ulster | Dutchess | Greene","586","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Done Right (dba for J Synergy Solar LLC)","solar done right dba for j synergy solar","247","1","144","2026-06-09","2026-07-30","Flushing | Queens | Corona | East Meadow | Oyster Bay | Inwood | West Hempstead | Syosset","Queens | Nassau | Kings | Richmond | Bronx | Rockland | Suffolk","490","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Halco Renewable Energy (dba for Halcyon)","halco renewable energy dba for halcyon","577","1","127","2026-06-11","2026-07-24","Blossvale | Camden | Cleveland | Canandaigua | Cortland | Cincinnatus | Ithaca | Syracuse","Oneida | Ontario | Cortland | Tompkins | Onondaga | Madison | Wayne | Oswego","439","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Advanced Solar Solutions","advanced solar solutions","75","1","75","2026-05-29","2026-07-30","Flushing | Elmhurst | Hollis | West Hempstead | Fresh Meadows | Oakland Gardens | South Richmond Hill | Bayside","Queens | Nassau | Kings | Bronx","283","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Element Energy LLC","element energy","68","1","55","2025-12-09","2026-07-20","Stony Brook | Patchogue | Hampton Bays | Coram | Sag Harbor | Mattituck | Medford | Peconic","Suffolk | Nassau | Westchester","223","Find official domain, then audit careers/jobs pages for detailed solar offers."
"High Peaks Solar","high peaks solar","217","1","28","2025-10-18","2026-05-28","Middletown | Walton | Schoharie | Tannersville | Greenville | Cornwallville | Berne | Coeymans Hollow","Orange | Delaware | Schoharie | Greene | Albany | Columbia | Rensselaer | Dutchess","142","Find official domain, then audit careers/jobs pages for detailed solar offers."
"National Solar Technologies","national solar technologies","25","1","19","2026-05-08","2026-07-08","Stamford | Kingston | Delmar | Wilmington | East Syracuse | Red Creek | Oxford | Depew","Delaware | Ulster | Albany | Essex | Onondaga | Cayuga | Chenango | Erie","90","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Bliss Solar, LLC","bliss solar","13","1","10","2026-05-28","2025-08-12","Corona | Jamaica | Ridgewood | Queens Village | Ozone Park | Astoria | Maspeth | Jackson Heights","Queens | Bronx | Westchester","51","Find official domain, then audit careers/jobs pages for detailed solar offers."
"G&S Solar (dba for G&S Operations LLC)","g s solar dba for g s operations","42","1","6","2025-01-30","2025-06-25","Ridgewood | Yonkers | Scarsdale | Rye | New Rochelle | West Harrison | Elmsford | Hastings on Hudson","Queens | Westchester","68","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Plankton Energy","plankton energy","5","1","5","2026-04-02","2026-05-05","New York | Bronx | Elmsford | Poughkeepsie","New York | Bronx | Westchester | Dutchess","28","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Green Power Developers LLC","green power developers","6","1","3","2025-03-25","2026-07-28","Middle Village | Ridgewood | Bronx | Central Valley | Suffern | Monsey","Queens | Bronx | Orange | Rockland","23","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solect Energy Development LLC","solect energy development","3","1","3","2025-05-16","2026-07-01","New Rochelle | Ballston Spa | Latham","Westchester | Saratoga | Albany","20","Find official domain, then audit careers/jobs pages for detailed solar offers."
"ForeFront Power, LLC","forefront power","27","1","1","2025-01-15","2022-08-08","East Elmhurst | Otisville | Westtown | Chester | Ellenville | Dover Plains | Schaghticoke | Altamont","Queens | Orange | Ulster | Dutchess | Rensselaer | Albany | Montgomery | Jefferson","38","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Brookfield Renewable DG US Operations, LLC","brookfield renewable dg us operations","11","1","1","2023-11-29","2026-06-02","Hudson | Schenectady | Waterville | Cortland | Forestville | Fredonia","Columbia | Schenectady | Oneida | Cortland | Chautauqua","22","Find official domain, then audit careers/jobs pages for detailed solar offers."
