businessName,normalizedName,projects,pipelineProjects,recentProjects,latestApplication,latestCompletion,cities,counties,targetScore,nextStep
"Jordan Energy & Food Enterprises, LLC","jordan energy food enterprises","21","0","13","2025-12-11","2026-02-10","Liberty | Walden | Goshen | Sharon Springs | New Paltz | Kingston | Salt Point | Hoosick Falls","Sullivan | Orange | Schoharie | Ulster | Dutchess | Rensselaer | Columbia | Saratoga","60","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Glory NY Inc","solar glory ny","13","0","13","2026-01-29","2026-06-17","Fresh Meadows | Ozone Park | Forest Hills | Flushing | Rego Park | Brooklyn | Queens Village","Queens | Kings","52","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sunrise Electrical Services LLC dba Sunrise Power Solutions","sunrise electrical services dba sunrise power solutions","125","0","12","2025-06-12","2026-06-24","East Setauket | Shelter Island | Miller Place | Holtsville | Lake Grove | Centereach | Stony Brook | Holbrook","Suffolk | Nassau | Queens | New York | Westchester | Putnam | Orange | Ulster","86","Find official domain, then audit careers/jobs pages for detailed solar offers."
"RWE Clean Energy Solutions Inc.","rwe clean energy solutions","58","0","12","2023-10-28","2024-06-20","Bellerose | Woodside | Brooklyn | Staten Island | Pelham | New Rochelle | Port Chester | Mamaroneck","Queens | Kings | Richmond | Westchester | Putnam | Rockland | Orange","86","Find official domain, then audit careers/jobs pages for detailed solar offers."
"REpower, LLC","repower","20","0","12","2025-04-08","2026-03-27","Woodside | Bronx | White Plains | New Rochelle | Port Chester | Tarrytown | Waccabuc","Queens | Bronx | Westchester","56","Find official domain, then audit careers/jobs pages for detailed solar offers."
"US Energy Concierge, Inc","us energy concierge","61","0","11","2024-11-13","2025-02-18","Cold Spring | Garrison | Cortlandt Manor | Carmel | Brewster | North Branch | Rock Tavern | New Hampton","Putnam | Westchester | Sullivan | Orange | Greene | Dutchess | Ulster | Rensselaer","83","Find official domain, then audit careers/jobs pages for detailed solar offers."
"1st Light Energy","1st light energy","1183","0","10","2025-03-19","2026-07-03","Massapequa | West Hempstead | Far Rockaway | College Point | South Richmond Hill | Lynbrook | Ozone Park | Fresh Meadows","Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester | Rockland","80","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Skyline Solar Inc.","skyline solar","196","0","9","2025-10-02","2025-10-31","Camden | Henderson | Alexandria Bay | Mexico | Hannibal | Central Square | Oswego | Fulton","Oneida | Jefferson | Oswego | Cayuga | Onondaga | Cortland | Madison | Herkimer","77","Find official domain, then audit careers/jobs pages for detailed solar offers."
"HORIZON SOLAR LLC","horizon solar","79","0","9","2025-10-31","2026-04-30","Southampton | Medford | Selden | Port Jefferson | Shirley | Centereach | Manorville | Patchogue","Suffolk | Nassau","77","Find official domain, then audit careers/jobs pages for detailed solar offers."
"East West Electric (dba for Buzzard's Ridge Group LLC)","east west electric dba for buzzard s ridge group","15","0","9","2025-11-04","2026-02-17","Schoharie | Cooperstown | Sharon Springs | Averill Park | Cropseyville | Petersburg | Sand Lake | Richville","Schoharie | Otsego | Rensselaer | St Lawrence | Delaware","42","Find official domain, then audit careers/jobs pages for detailed solar offers."
"OPAL ENERGY GROUP LLC","opal energy group","9","0","9","2026-03-13","2026-07-06","Pleasantville | Newburgh | Highland | Kingston | Medina | Ovid | Lakeville","Westchester | Orange | Ulster | Orleans | Seneca | Livingston","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Sundog Solar, Inc.","sundog solar","181","0","8","2025-11-25","2026-04-14","Westerlo | Delanson | Hensonville | Elka Park | Ravena | Rhinebeck | Kingston | Altamont","Albany | Schoharie | Greene | Dutchess | Ulster | Delaware | Otsego | Columbia","74","Find official domain, then audit careers/jobs pages for detailed solar offers."
"EVO ENERGY INC","evo energy","8","0","8","2025-06-27","2025-11-05","New Windsor | Dover Plains | Marlboro | Poughkeepsie | Hyde Park | Jay | Penn Yan","Orange | Dutchess | Ulster | Essex | Yates","32","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Upstate Alternative Energy","upstate alternative energy","110","0","7","2025-09-09","2025-10-30","Kirkville | Brewerton | Syracuse | Oswego | Phoenix | Pulaski | Marietta | Cazenovia","Onondaga | Oswego | Madison | Oneida | Cayuga | Jefferson | Cortland | Wayne","71","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Green Visions Solar LLC","green visions solar","58","0","7","2023-10-20","2024-01-22","Woodgate | Blossvale | Constantia | Jamesville | Fulton | Cazenovia | Oswego | Manlius","Oneida | Oswego | Onondaga | Madison | Cayuga | Broome | Jefferson | Herkimer","71","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Powerlutions","powerlutions","36","0","7","2024-09-05","2026-03-12","East Islip | Brooklyn | Long Island City | Pomona | Thiells | Garnerville | New City | Suffern","Suffolk | Kings | Queens | Rockland | Orange","57","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Energy Brite Insulation and Solar Corp","energy brite insulation and solar","21","0","7","2026-03-31","2026-05-05","Brooklyn | Staten Island","Kings | Richmond","42","Find official domain, then audit careers/jobs pages for detailed solar offers."
"64 Solar LLC","64 solar","15","0","7","2025-06-04","2025-10-02","Jamaica | Port Chester | Mount Vernon | Carmel | Cortlandt Manor | Bedford Hills | Chappaqua | New City","Queens | Westchester | Putnam | Rockland | Orange","36","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Bear Energy LLC","solar bear energy","10","0","7","2024-11-22","2025-04-02","Westtown | Cornwall | Woodridge | Bloomingburg | Livingston Manor | Goshen | Highland Lake | Glen Spey","Orange | Sullivan","31","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Finger Lakes Renewable Energy, LLC","finger lakes renewable energy","109","0","6","2025-05-28","2025-10-06","Auburn | Ithaca | Binghamton | Trumansburg | Freeville | Vestal | Spencer | Lansing","Cayuga | Tompkins | Broome | Onondaga | Madison | Tioga | Cortland | Steuben","68","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SUNGAIN LLC","sungain","6","0","6","2025-06-18","2025-08-07","Staten Island","Richmond","24","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Freedom Solar","freedom solar","259","0","5","2024-05-30","2026-04-14","Flushing | Jackson Heights | Scarsdale | Cortlandt Manor | Ellenville | Wappingers Falls | Albany | Blossvale","Queens | Westchester | Ulster | Dutchess | Albany | Oneida | Saratoga | Clinton","65","Find official domain, then audit careers/jobs pages for detailed solar offers."
"altPower, Inc.","altpower","88","0","5","2024-05-23","2025-11-20","Bayside | Richmond Hill | Queens Village | Oakland Gardens | Woodside | Forest Hills | Rego Park | Corona","Queens | Kings | New York | Richmond | Bronx | Westchester | Putnam | Dutchess","65","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Rural Generation & Wind","rural generation wind","47","0","5","2024-08-27","2025-11-12","Sharon Springs | Boonville | Hastings | West Monroe | Central Square | Oswego | Mallory | Fulton","Schoharie | Oneida | Oswego | Jefferson | Herkimer | Onondaga | Erie | Wyoming","62","Find official domain, then audit careers/jobs pages for detailed solar offers."
"County Solar Solutions, Inc.","county solar solutions","5","0","5","2024-10-25","2025-01-21","Carmel | Shrub Oak | Ossining | Cortlandt Manor | Yorktown Heights","Putnam | Westchester","20","Find official domain, then audit careers/jobs pages for detailed solar offers."
"PTM Solar Inc","ptm solar","5","0","5","2026-04-21","2026-04-29","Black River | Camillus | Syracuse | Auburn","Jefferson | Onondaga | Cayuga","20","Find official domain, then audit careers/jobs pages for detailed solar offers."
"AMERICAN SOLAR PARTNERS, LLC","american solar partners","540","0","4","2025-04-08","2026-07-01","Shirley | Patchogue | Sound Beach | Lake Grove | Farmingville | Sag Harbor | Coram | Ronkonkoma","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","62","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Premier Solar Solutions","premier solar solutions","142","0","4","2023-06-21","2025-03-25","Stony Brook | East Setauket | Brookhaven | Ridge | Manorville | Centereach | Ronkonkoma | Mastic Beach","Suffolk | Nassau | Queens | Kings | Richmond | Bronx | New York | Westchester","62","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Novel Approaches Solar Applications, LLC","novel approaches solar applications","97","0","4","2025-10-22","2026-01-22","Brewster | Middletown | Warwick | Bloomingburg | Otisville | Port Jervis | Highland Mills | Loch Sheldrake","Putnam | Orange | Sullivan | Ulster","62","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Solar Alchemy, Inc.","solar alchemy","67","0","4","2024-05-11","2025-02-14","Wurtsboro | Livingston Manor | Sparrow Bush | Otisville | Warwick | Middletown | Mountain Dale | Pine Bush","Sullivan | Orange | Ulster | Greene | Dutchess","62","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Hudson Valley Wind & Solar, LLC","hudson valley wind solar","29","0","4","2024-09-19","2024-10-23","Port Jervis | Rhinebeck | Ellenville | Red Hook | Livingston Manor | Hillsdale | Amenia | Stone Ridge","Orange | Dutchess | Ulster | Sullivan | Columbia","41","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Power Guru, LLC","power guru","21","0","4","2025-10-11","2026-02-13","Cambridge | Hoosick Falls | Delmar | Eagle Bridge | Buskirk | Johnsonville | Argyle | Galway","Washington | Rensselaer | Albany | Saratoga","33","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Renua Energy Inc.","renua energy","4","0","4","2025-12-11","2026-04-14","Parksville | Beacon | Delmar | Canton","Sullivan | Dutchess | Albany | St Lawrence","16","Find official domain, then audit careers/jobs pages for detailed solar offers."
"SunCommon II; LLC","suncommon ii","4","0","4","2026-04-23","2026-07-24","Roxbury | Clinton Corners | Hillsdale","Delaware | Dutchess | Columbia","16","Find official domain, then audit careers/jobs pages for detailed solar offers."
"UGE USA Inc.","uge usa","23","0","3","2023-09-25","2025-04-08","Flushing | Springfield Gardens | Jamaica | Astoria | Brooklyn | Staten Island | Tuckahoe | Bronx","Queens | Kings | Richmond | Westchester | Bronx","32","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Dragon Solar LLC","dragon solar","20","0","3","2023-07-13","2023-08-29","Groton | Cortland | Homer | La Fayette | Spencer | Rochester | Churchville | Conesus","Tompkins | Cortland | Onondaga | Monroe | Livingston","29","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Wildcat Solar LLC","wildcat solar","18","0","3","2023-11-14","2024-03-06","Ocean Beach | Jamaica | Forest Hills | Oakland Gardens | Fresh Meadows | Richmond Hill | Astoria | Staten Island","Suffolk | Queens | Richmond | Bronx | Westchester","27","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Same Sun of Vermont, Inc.","same sun of vermont","15","0","3","2024-05-24","2024-08-14","Johnsonville | Whitehall | Granville | Ticonderoga | Queensbury | Saratoga Springs | Salem","Washington | Essex | Warren | Saratoga","24","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Core Development Group, LLC","core development group","3","0","3","2024-10-09","2025-11-04","Jamaica | Maspeth","Queens","12","Find official domain, then audit careers/jobs pages for detailed solar offers."
"smart source electric LLC","smart source electric","3","0","3","2025-07-15","2025-10-01","Kingston | Saugerties","Ulster","12","Find official domain, then audit careers/jobs pages for detailed solar offers."
"JG Renovations LLC","jg renovations","3","0","3","2025-12-04","2026-01-28","Felts Mills | Fulton | Syracuse","Jefferson | Oswego | Onondaga","12","Find official domain, then audit careers/jobs pages for detailed solar offers."
"New York Electric & Solar, LLC","new york electric solar","3","0","3","2025-12-20","2026-01-22","Oswego | Elma | Cattaraugus","Oswego | Erie | Cattaraugus","12","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Crest Solar, LLC","crest solar","86","0","2","2023-05-06","2023-08-21","Schoharie | Warnerville | Granville | Fort Ann | Plattsburgh | Norfolk | Westport | Ellenburg Depot","Schoharie | Washington | Clinton | St Lawrence | Essex | Franklin | Warren | Schenectady","56","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Max Solar, Inc.","max solar","63","0","2","2023-03-07","2023-05-18","Black River | Watertown | Carthage | Lowville | Alexandria Bay | Natural Bridge | Winthrop | Rensselaer Falls","Jefferson | Lewis | St Lawrence | Hamilton | Livingston","56","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Nautilus Solar Energy, LLC","nautilus solar energy","23","0","2","2023-11-29","2026-06-24","Port Jervis | Westtown | Chester | Altamont | Champlain | Rexford | Camden | Canton","Orange | Albany | Clinton | Saratoga | Oneida | St Lawrence | Onondaga | Chenango","29","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Green Team USA, LLC","green team usa","4","0","2","2024-10-18","2025-02-04","Holbrook | Mastic | Commack | Bayport","Suffolk","10","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Centrica Business Solution Services Inc.","centrica business solution services","4","0","2","2023-09-13","2025-01-21","White Plains | Hudson | Mechanicville","Westchester | Columbia | Saratoga","10","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Buffalo Renewables, Inc.","buffalo renewables","4","0","2","2025-10-08","2026-01-09","Java Center | Batavia | North Tonawanda | Houghton","Wyoming | Genesee | Niagara | Allegany","10","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Grid City Electric Corp","grid city electric","334","0","1","2023-01-06","2023-04-10","Ridge | Medford | Selden | Mastic Beach | Shirley | East Moriches | Southampton | Stony Brook","Suffolk | Nassau | Queens | Kings | Richmond | New York | Bronx","53","Find official domain, then audit careers/jobs pages for detailed solar offers."
"GO SOLAR/GREEN NY LLC","go solar green ny","110","0","1","2023-11-23","2024-04-08","Bay Shore | Lindenhurst | West Babylon | Jamaica | Rockaway Park | Bellerose | Baldwin | Fresh Meadows","Suffolk | Queens | Nassau | Kings | Richmond | New York | Bronx | Westchester","53","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Kool-Temp Heating & Cooling Inc.","kool temp heating cooling","18","0","1","2024-02-08","2024-06-03","West Coxsackie | Earlton | Athens | Palenville | Ravena | Greenville | East Durham | Hudson","Greene | Albany | Columbia | Dutchess | Rensselaer","21","Find official domain, then audit careers/jobs pages for detailed solar offers."
"QCells Enable LLC (dba for Hanwha Q Cells America Inc)","qcells enable dba for hanwha q cells america","12","0","1","2023-03-15","2024-08-15","Maspeth | Brooklyn | Bronx | Peekskill | Elmsford | Tarrytown","Queens | Kings | Bronx | Westchester","15","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Vanguard Energy Partners, LLC","vanguard energy partners","8","0","1","2025-05-01","2026-05-21","Lake Grove | Farmingville | Holbrook | Holtsville | New York | Tarrytown | Angola","Suffolk | New York | Westchester | Erie","11","Find official domain, then audit careers/jobs pages for detailed solar offers."
"BETHPAGE SOLAR INC.","bethpage solar","8","0","1","2024-07-09","2024-07-31","Farmingdale | West Islip | Northport | Bethpage | Wantagh | Plainview","Suffolk | Nassau","11","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Summit Solar Company LLC","summit solar","7","0","1","2025-02-13","2025-04-21","Flushing | Rosedale | Jamaica | Springfield Gardens | Astoria | Staten Island","Queens | Richmond","10","Find official domain, then audit careers/jobs pages for detailed solar offers."
"New England Solar & Green Solutions, Inc.","new england solar green solutions","7","0","1","2023-08-29","2024-11-20","Hillsdale | East Schodack | Schenectady | Cohoes | Hudson | Latham | Petersburg","Columbia | Rensselaer | Schenectady | Albany","10","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Adirondack Battery & Solar, LLC","adirondack battery solar","6","0","1","2023-07-07","2024-07-15","Potsdam | Cape Vincent | Norwood | Nicholville","St Lawrence | Jefferson","9","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Lipp Electric","lipp electric","5","0","1","2023-09-08","2023-11-17","Macedon | Canandaigua | Middlesex | Naples | Geneseo","Wayne | Ontario | Yates | Livingston","8","Find official domain, then audit careers/jobs pages for detailed solar offers."
"Natural Energy Solutions (dba for Eric Maskell)","natural energy solutions dba for eric maskell","3","0","1","2023-05-20","2024-03-11","Red Hook | Hudson | Germantown","Dutchess | Columbia","6","Find official domain, then audit careers/jobs pages for detailed solar offers."
