licenseNumber,businessName,cityStateZip,candidateDomain,matchedCompanyName,confidenceScore,status,error
40318,"EARTH SMART SOLAR, LLC",SAN ANTONIO TX 78258,earthsmartsolar.com,EARTH SMART SOLAR INC,99,candidate_found,
33539,EASTEX SOLAR,PALESTINE TX 75803-0625,,,,no_domain_candidate,
37330,ECLIPSE SOLAR & HOME SOLUTIONS INC.,AUSTIN TX 78731-4298,,,,no_domain_candidate,
37060,EDISON SOLAR LLC,PLANO TX 75075-4200,,Solar Edison,94,ambiguous_match,
38497,ELDRIGE ROOFING & SOLAR,SPRING TX 77379-3424,,,,no_domain_candidate,
31577,ELEVATION SOLAR LLC,CHANDLER AZ 85286,,,,no_domain_candidate,
35557,"ELITE SOLAR ARP SOLUTIONS, LLC",EL PASO TX 79935-5304,,,,no_domain_candidate,
39263,EMPWR SOLAR LLC,MOUNT PLEASANT SC 29464,empwrsolar.com,EMPWR Solar,99,candidate_found,
25720,ENGEL SOLAR-ELECTRIC,CONVERSE TX 78109,,,,no_domain_candidate,
39448,ENLIGHT SOLAR SOLUTIONS LLC,SULPHUR SPRINGS TX 75482-3529,,,,no_domain_candidate,
37441,ENTO PRODUCTIONS INC DBA BRIGHT SOLAR,HOUSTON TX 77066-1024,,,,no_domain_candidate,
40035,EPC SOLAR LLC,ALEDO TX 76008-1844,,"Solar EPC, a service of Momentum Bay",99,ambiguous_match,
38512,EVOLUTION SOLAR SOLUTIONS LLC,MURPHY TX 75094-3728,,,,no_domain_candidate,
38998,FRANS SOLAR ELECTRIC,UNIVERSAL CITY TX 78148-8154,,,,no_domain_candidate,
36814,GLYDE SOLAR LLC,PLEASANT GROVE UT 84062,glydesolar.com,Glyde Solar,99,candidate_found,
41633,GO SOLAR AND ROOFING LLC,LUBBOCK TX 79404-6174,,,,no_domain_candidate,
35375,GO SOLAR POWER LLC,ADDISON TX 75001,gosolarpower.com,Go Solar Power,99,candidate_found,
38601,GOODPWR SOLAR LLC,ARVADA CO 80007,,,,no_domain_candidate,
33940,GREATER TEXAS SOLAR LLC,MASON TX 76856,,,,no_domain_candidate,
32051,GREEN LIGHT SOLAR LLC,HOUSTON TX 77032-4087,https://n/a,Green Light Solar,99,candidate_found,
41448,GRIDCRAFT SOLAR,ROUND ROCK TX 78664-8559,,,,no_domain_candidate,
32590,GS SOLAR LLC DBA BIG SUN SOLAR,SAN ANTONIO TX 78215-1269,,,,no_domain_candidate,
38037,HARVEST SOLAR INC.,GARLAND TX 75040,,Harvest Solar,83,ambiguous_match,
39995,HDEZ ELECTRIC/SOLAR LLC,ARLINGTON TX 76015-4326,,,,no_domain_candidate,
39298,HILL COUNTRY SOLAR LLC,FREDERICKSBURG TX 78624-4227,,,,no_domain_candidate,
40995,HONEST SOLAR LLC,AUSTIN TX 78744-3009,,Honest Solar Solutions,99,ambiguous_match,
38653,HUB CITY SOLAR LLC,LUBBOCK TX 79423-2046,,,,no_domain_candidate,
38471,IMMEDIATE SOLAR LLC,RICHARDSON TX 75081-1865,immediatesolar.org,Immediate Solar,99,candidate_found,
38126,INTEGRITY ELECTRIC & SOLAR LLC,CHANDLER TX 75758,,,,no_domain_candidate,
37666,INTEGRITY SOLAR USA LLC,SUNSET TX 76270-2161,,Integrity Solar Systems USA,99,ambiguous_match,
33693,J & D ELECTRIC & SOLAR LLC,DALLAS TX 75227,,,,no_domain_candidate,
38802,JANI SOLAR LLC,RICHARDSON TX 75081,,,,no_domain_candidate,
36453,JEH SOLAR LLC,LAFAYETTE LA 70508,jehsolar.com,JEH Solar,99,candidate_found,
36417,JILES SOLAR POWER LLC,NEW BRAUNFELS TX 78130,,,,no_domain_candidate,
39880,JOULE SOLAR OPERATIONS LLC,AUSTIN TX 78731-4298,,,,no_domain_candidate,
38990,KINGS ELECTRIC & SOLAR LLC,SAN ANTONIO TX 78254-5948,,,,no_domain_candidate,
40712,KSG ELECTRIC AND SOLAR SERVICES,SACRAMENTO CA 95825-1474,,,,no_domain_candidate,
40529,KW SOLAR LLC,KATY TX 77493-2411,kw.solar,KW Solar,99,candidate_found,
41323,LIFETIME SOLAR LLC,KANSAS CITY MO 64105-2106,lifetimesolarenergy.com,Lifetime Solar,88,candidate_found,
40997,LOGIC SOLAR LLC,OVERLAND PARK KS 66210-2332,,Pure Logic Solar,99,ambiguous_match,
35443,LONE STAR SOLAR SERVICES LLC,HOUSTON TX 77086,,,,no_domain_candidate,
37877,LUXURY ENERGY SOLAR LLC,HOUSTON TX 77039,,,,no_domain_candidate,
38799,MATHIS SOLAR LLC,ARLINGTON TX 76012-3201,,,,no_domain_candidate,
39603,"MAXIMA SOLAR CONTRACTORS, LLC",SAN ANTONIO TX 78233-5416,,,,no_domain_candidate,
38682,MAYER SOLAR LLC,PLANO TX 75074-3770,mayersolar.com,Mayer Solar,99,candidate_found,
36514,MEGA WATT SOLAR LLC,FRISCO TX 75035,,,,no_domain_candidate,
34081,MODERN ERA SOLAR LLC,EL PASO TX 79936,,,,no_domain_candidate,
39701,MOJO ELECTRIC & SOLAR LLC,TRENTON TX 75490,,,,no_domain_candidate,
38847,"MOMENTUM SOLAR, LLC",SOUTH PLAINFIELD NJ 7080 -1201,momentumsolarinc.com,Momentum Solar Inc.,99,candidate_found,
35568,"MONUMENT SOLAR, LLC",SAGINAW TX 76131-1033,monument-solar.com,Monument Solar,99,candidate_found,
37474,MOUNTAINSTAR SOLAR LLC,EL PASO TX 79835,mountainstarsolar.com,MountainStar Solar,99,candidate_found,
40688,NATIONAL SOLAR INSTALLATIONS OF TX LLC,ROCKLEDGE FL 32955-5802,,,,no_domain_candidate,
26718,NATIVE SOLAR LLC,DRIPPING SPRINGS TX 78620,nativesolar.com,NATiVE Solar,99,candidate_found,
31140,NORTH TEXAS SOLAR LLC,FORT WORTH TX 76137,daybreaksolarpower.com,North Texas Solar,94,candidate_found,
30002,OLYMPUS ELECTRIC & SOLAR LLC,SAN ANTONIO TX 78235-2628,,,,no_domain_candidate,
40061,"ON Q SOLAR SERVICES, LLC",SANTA CLARITA CA 91350-8562,,,,no_domain_candidate,
41422,ORO ENERGY & SOLAR LLC,SAN ANTONIO TX 78253-7427,,,,no_domain_candidate,
34752,"PALMETTO SOLAR, LLC",CHARLOTTE NC 28203-4378,,Palmetto Roofing and Solar,99,ambiguous_match,
38936,PATRIOT POWER SOLAR AND ELECTRICAL,BUDA TX 78610-3212,,,,no_domain_candidate,
39709,PATS ELECTRIC AND SOLAR LLC,QUINLAN TX 75474-4229,,,,no_domain_candidate,
41489,PCL SOLAR CONSTRUCTORS USA INC,KATY TX 77449-2175,,,,no_domain_candidate,
38246,"PEOPLE'S CHOICE SOLAR, LLC",MCALLEN TX 78501-4902,peopleschoicesolar.com,People's Choice Solar,99,candidate_found,
33440,PLUG ELECTRIC & SOLAR LLC,ODESSA TX 79763-2804,,,,no_domain_candidate,
41752,POSITIVE ENERGY SOLAR INC,SANTA FE NM 87507-4101,positiveenergysolar.com,Positive Energy Solar,99,candidate_found,
32680,"POWERFIN TEXAS SOLAR PROJECTS, LLC",AUSTIN TX 78731,,,,no_domain_candidate,
35440,PRIME SOLAR INC,RICHARDSON TX 75080-1946,,Prime Solar Power,81,ambiguous_match,
35719,PROCLAIM SOLAR LLC,PLANO TX 75074,proclaimsolar.com,Proclaim Solar,99,candidate_found,
33458,PUNCH SOLAR & ELECTRICAL SERVICES LLC,AUSTIN TX 78753-2734,,,,no_domain_candidate,
39006,"PV NATIONAL, LLC",RICHARDSON TX 75081,,,,no_domain_candidate,
36729,QUICKEN SOLAR LLC,FRISCO TX 75035,quickensolar.com,Quicken Solar,99,candidate_found,
38800,RADIANCE SOLAR LLC,MARIETTA GA 30068,radiancesolar.com,Radiance Solar,99,candidate_found,
39967,RAYMUNDOS ELECTRICAL N SOLAR LLC,KATY TX 77449-1787,,,,no_domain_candidate,
38109,"READY EVERY SECOND SOLAR, INC.",HOUSTON TX 77092-7218,,,,no_domain_candidate,
40730,REMOVE SOLAR RESET LLC,PLANO TX 75075,,,,no_domain_candidate,
32996,RENERGY SOLAR LLC,BOERNE TX 78006,,,,no_domain_candidate,
37418,RGV SOLAR ELECTRIC LLC,MISSION TX 78572-3576,,,,no_domain_candidate,
38167,RKS ELECTRIC AND SOLAR L.L.C.,HUTTO TX 78634-5243,,,,no_domain_candidate,
36806,RURAL SOLAR RESTORATION LLC,DENVER CO 80211,ruralsolarrestoration.com,Rural Solar Restoration,99,candidate_found,
33112,S & H SOLAR & ELECTRIC LLC,IOWA PARK TX 76367-1612,shsolarelectric.com,S&H Solar & Electric,99,candidate_found,
39625,S&R SOLAR SOLUTIONS LLC,LAREDO TX 78041-6211,,,,no_domain_candidate,
38829,SHNEYDER SOLAR INC,FORNEY TX 75126,,,,no_domain_candidate,
36340,SIGNA TECH SOLAR DBA,SULPHUR SPRINGS TX 75482-6601,,,,no_domain_candidate,
33035,"SILVER ELECTRIC AND SOLAR, LLC",LEANDER TX 78641-6226,,,,no_domain_candidate,
37273,SIRIO SOLAR ENERGY SOLUTIONS LLC,PANTEGO TX 76013,,,,no_domain_candidate,
40845,SKYGRID SOLAR SOLUTIONS LLC,MINEOLA TX 75773,,,,no_domain_candidate,
35746,SMA SOLAR TECHNOLOGY AMERICA LLC,ROCKLIN CA 95765-3720,,,,no_domain_candidate,
35047,SMART ENERGY SOLAR LLC,EL PASO TX 79907-3208,,Smart Solar Energy,99,ambiguous_match,
37419,SOLAR 365 LLC DBA GOOD NEIGHBOR ENERGY,SAN ANTONIO TX 78229,,,,no_domain_candidate,
35483,SOLAR 820 LLC,HOUSTON TX 77469,,,,no_domain_candidate,
37677,"SOLAR BROS ELECTRIC, LLC",FORT WORTH TX 76112,,,,no_domain_candidate,
29755,SOLAR CENTEX LLC,HARKER HEIGHTS TX 76548-8680,solarcentex.com,Solar CenTex,99,candidate_found,
30862,SOLAR ELECTRICAL/RETROFIT SOLUTIONS INC,ALVARADO TX 76009-5202,,,,no_domain_candidate,
41158,SOLAR EXPERT AND ROOFS,EDINBURG TX 78542-0463,,,,no_domain_candidate,
41297,SOLAR INNOVATIVE SOLUTIONS CORP,LEHIGH ACRES FL 33976-4528,,,,no_domain_candidate,
40126,SOLAR ONE CONSTRUCTION,SHERMAN TX 75090,,,,no_domain_candidate,
39062,SOLAR OPTIMAL SERVICES LLC,DALLAS TX 75253-3720,,,,no_domain_candidate,
34411,SOLAR POWER INTEGRATOR LLC,CORPUS CHRISTI TX 78418-5312,solarpowerintegrator.com,Solar Power Integrator,99,candidate_found,
34727,SOLAR PVS LLC,HOUSTON TX 77044-4991,,,,no_domain_candidate,
37604,SOLAR SALES OF NORTH AMERICA INC,FRISCO TX 75035-6762,,,,no_domain_candidate,
41216,SOLAR SANDHU INC,HOUSTON TX 77002-8256,,,,no_domain_candidate,
38399,SOLAR SCOUTS OPERATIONS LLC,FREDERICKSBURG TX 78624,,,,no_domain_candidate,
33444,SOLAR SERVICE AMERICA LLC,AUSTIN TX 78723,,,,no_domain_candidate,
