providerType,ccn,providerName,city,state,reviewedDomain,candidateUrl,mapLinkCount,careerUrlsFound,detailedJobUrlsFound,detailedJobUrlCount,verifiedDetailPages,atsDetected,jobPostingDetected,auditStage,auditStatus,auditReason
nursing_home,255104,GRENADA LIVING CENTER,GRENADA,MS,grenadalivingcenter.com,https://www.grenadalivingcenter.com/,27,https://www.grenadalivingcenter.com/employment,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,315529,LIVIA HEALTH AND SENIOR LIVING,EAST HANOVER,NJ,livia-health.com,https://livia-health.com/new-age-aging/,71,https://livia-health.com/join-our-team/job-application,https://livia-health.com/agency-staffing-in-nursing-homes-a-growing-trend-with-challenges-and-opportunities|https://livia-health.com/join-our-team/job-application,2,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 2 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,525654,HERITAGE LAKESIDE,RICE LAKE,WI,heritagelakesiderehab.com,https://heritagelakesiderehab.com/,22,https://heritagelakesiderehab.com/careers,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,165796,St Anthony Senior Services,Carroll,IA,stanthonyhospital.org,https://stanthonyhospital.org/medical-care/senior-care,239,https://www.stanthonyhospital.org/about-us/faq/15/what-positions-of-employment-can-i-apply-for|https://www.stanthonyhospital.org/about-us/faq/16/when-will-i-know-if-i-am-being-considered-for-a-position-of-employment,https://www.stanthonyhospital.org/about-us/faq/15/what-positions-of-employment-can-i-apply-for|https://www.stanthonyhospital.org/about-us/faq/16/when-will-i-know-if-i-am-being-considered-for-a-position-of-employment,2,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 2 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,155400,CARDINAL CARE STRATEGIES,MUNCIE,IN,thestrategies.net,https://www.thestrategies.net/care-stragies/cardinal,13,,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,225630,NAVIGATOR HOMES OF MARTHA'S VINEYARD,EDGARTOWN,MA,vineyardgazette.com,https://vineyardgazette.com/news/2025/03/06/navigator-homes-take-shape-edgartown,236,https://vineyardgazette.com/news/2008/06/13/thanks-calling-employers-say-most-summer-jobs-filled|https://vineyardgazette.com/news/2010/01/14/year-after-obama-inauguration-jobs-are-job-one|https://vineyardgazette.com/employment-vineyard-gazette-media-group|https://vineyardgazette.com/news/2022/06/23/steamship-authority-struggles-fill-key-jobs|https://vineyardgazette.com/news/2022/09/15/vineyard-wind-charts-course-pledges-jobs-and-cheap-power|https://vineyardgazette.com/news/2008/07/08/naturalist-calls-island-life-book-eye-opening-resource|https://vineyardgazette.com/tags/job-fair|https://vineyardgazette.com/tm/collection/Job-fair|https://vineyardgazette.com/news/2025/03/18/high-school-job-fair|https://vineyardgazette.com/news/2023/03/23/hospital-seeks-shore-job-vacancies,https://vineyardgazette.com/news/2008/06/13/thanks-calling-employers-say-most-summer-jobs-filled|https://vineyardgazette.com/news/2010/01/14/year-after-obama-inauguration-jobs-are-job-one|https://vineyardgazette.com/news/2022/06/23/steamship-authority-struggles-fill-key-jobs|https://vineyardgazette.com/news/2022/09/15/vineyard-wind-charts-course-pledges-jobs-and-cheap-power|https://vineyardgazette.com/news/2008/07/08/naturalist-calls-island-life-book-eye-opening-resource|https://vineyardgazette.com/tags/job-fair|https://vineyardgazette.com/tm/collection/Job-fair|https://vineyardgazette.com/news/2025/03/18/high-school-job-fair|https://vineyardgazette.com/news/2023/03/23/hospital-seeks-shore-job-vacancies|https://vineyardgazette.com/news/2025/04/03/high-school-job-fair-boon-students-and-local-businesses|https://vineyardgazette.com/news/2024/03/26/high-school-job-fair-puts-opportunity-center-stage|https://vineyardgazette.com/news/2023/03/21/island-employers-pack-high-school-job-fair-search-workers|https://vineyardgazette.com/news/2022/04/26/vineyard-wind-host-job-fair|https://vineyardgazette.com/news/2023/10/03/hospital-hosts-job-seminar|https://vineyardgazette.com/news/2001/04/27/job-fair-seeks-placement-school-students|https://vineyardgazette.com/news/2021/04/16/mvcs-holds-job-fair-tuesday|https://calendar.vineyardgazette.com/event/marthas-vineyard-career-volunteer-networking-night|https://vineyardgazette.com/news/2003/08/14/county-drops-top-job-offer|https://vineyardgazette.com/news/1962/12/14/brilliant-career-new-attorney-general|https://vineyardgazette.com/news/2018/07/19/my-lai-abu-ghraib-career-spent-uncovering-truth|https://vineyardgazette.com/news/2007/03/23/town-will-end-job-contracts|https://calendar.vineyardgazette.com/event/mvcs_spring_professionals_job_fair|https://vineyardgazette.com/obituaries/2003/06/17/richard-e-west-76-had-long-marketing-career|https://vineyardgazette.com/news/2002/02/21/steamship-authority-board-offers-top-job-veteran-marine|https://vineyardgazette.com/news/2010/03/11/tonights-party-tomorrows-job-interview,36,4,true,false,detailed_audit,rejected_ats_detected,Known ATS domain or embed detected on a careers/job page.
nursing_home,215353,INGLESIDE AT KING FARM,ROCKVILLE,MD,inglesideonline.org,https://inglesideonline.org/ingleside-king-farm/ingleside-engaged/,189,https://inglesideonline.org/careers|https://inglesideonline.org/news/program-offers-career-opportunities-in-senior-living-for-young-adults-with-idds,https://inglesideonline.org/news/program-offers-career-opportunities-in-senior-living-for-young-adults-with-idds,1,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 1 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,315176,THE PINES AT MEDFORD,MEDFORD,NJ,pinesrehab.org,https://pinesrehab.org/services/,0,,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,425418,Kempton Of Charleston,Charleston,SC,charlestonlivingmag.com,https://charlestonlivingmag.com/retire-your-way,218,,https://charlestonlivingmag.com/opportunities-abound,1,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 1 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,065412,"GREEN HOUSE HOMES AT MIRASOL, THE",LOVELAND,CO,seniorhomes.com,https://www.seniorhomes.com/colorado/loveland/the-green-house-homes-at-mirasol,243,,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,215250,"GOODWILL MENNONITE HOME, INC.",GRANTSVILLE,MD,goodwillhome.org,https://goodwillhome.org/about-us/,248,https://goodwillhome.org/careers/careers-header|https://goodwillhome.org/home/careers2|https://goodwillhome.org/careers|https://goodwillhome.org/home/careers-2|https://goodwillhome.org/home/careers-3|https://goodwillhome.org/home/careers|https://goodwillhome.org/home/careers2-2,https://goodwillhome.org/careers/careers-header|https://goodwillhome.org/home/careers2|https://goodwillhome.org/home/careers-2|https://goodwillhome.org/home/careers-3|https://goodwillhome.org/home/careers2-2,5,0,false,false,detailed_audit,rejected_job_pages_not_detailed,Only 0/5 sampled URLs contained a detailed job description.
nursing_home,24E185,Bywood East Health Care,MINNEAPOLIS,MN,bywoodeast.com,https://bywoodeast.com/,14,http://bywoodeast.com/employment|https://bywoodeast.com/employment,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,345516,Conover Nursing And Rehabilitation Center,Conover,NC,conovernursingandrehab.com,https://www.conovernursingandrehab.com/,28,https://www.conovernursingandrehab.com/employment/open-positions|https://www.conovernursingandrehab.com/employment|https://www.conovernursingandrehab.com/employment-application,https://www.conovernursingandrehab.com/employment/open-positions,1,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 1 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,445254,ONEIDA NURSING AND REHAB CENTER,ONEIDA,TN,oneidanursingandrehab.com,https://www.oneidanursingandrehab.com/,248,https://www.oneidanursingandrehab.com/employment,,0,0,false,false,map_only,rejected_insufficient_detailed_job_urls,Map found 0 provider-hosted job-detail URL(s) with a stable path; requires at least 5.
nursing_home,165606,Perry Lutheran Home,Perry,IA,perrylutheranhomes.org,https://perrylutheranhomes.org/2017/07/28/perry-community-and-mission-partners-in-full-support-at-acorns-oaks-daycare-ribbon-cutting-and-blessing-ceremonies/,242,https://perrylutheranhomes.org/careers|https://perrylutheranhomes.org/page_keywords/careers|https://perrylutheranhomes.org/page_keywords/jobs|https://perrylutheranhomes.org/page_keywords/jobs-in-perry|https://perrylutheranhomes.org/careers/apply-online|https://perrylutheranhomes.org/page_keywords/healthcare-jobs|https://perrylutheranhomes.org/careers/advancement|https://perrylutheranhomes.org/2021/02/22/perry-lutheran-homes-stepup-career-advancement-program|https://perrylutheranhomes.org/page_keywords/career|https://perrylutheranhomes.org/page_keywords/career-advancement,https://perrylutheranhomes.org/page_keywords/jobs-in-perry|https://perrylutheranhomes.org/careers/apply-online|https://perrylutheranhomes.org/page_keywords/healthcare-jobs|https://perrylutheranhomes.org/careers/advancement|https://perrylutheranhomes.org/2021/02/22/perry-lutheran-homes-stepup-career-advancement-program|https://perrylutheranhomes.org/page_keywords/career-advancement|https://perrylutheranhomes.org/page_keywords/volunteer-opportunities|https://perrylutheranhomes.org/page_keywords/volunteer-opportunities-in-perry|https://perrylutheranhomes.org/page_keywords/volunteer-opportunities-near-me,9,5,false,false,detailed_audit,validated_custom_scrape_candidate,At least five detailed provider-hosted job URLs were verified; no known ATS or JobPosting schema was detected in the sampled pages.
