licenseNumber,businessName,cityStateZip,candidateDomain,sources,status
1331690,"HD ROOFING & SOLAR, LLC.",LONGWOOD FL 32750,hdroofers.com,clearout,candidate_found
0021436,HERE COMES THE SUN-SOLAR ENERGY INC,BOYNTON BEACH FL 33426,herecomesthesunsolarenergyserviceandrepair.com,clearout,candidate_found
0056680,HERE COMES THE SUN-SOLAR ENERGY INC,BOYNTON BEACH FL 33426,herecomesthesunsolarenergyserviceandrepair.com,clearout,candidate_found
0057116,LIMITLESS SOLAR LLC,HOLLYWOOD FL 33021,limitlesssolar.com,clearout,candidate_found
1336613,LIMITLESS SOLAR LLC,WEST PARK FL 33023,limitlesssolar.com,clearout,candidate_found
1267786,LIMITLESS SOLAR LLC,HOLLYWOOD FL 33021,limitlesssolar.com,clearout,candidate_found
0057101,LOTUS ENERGY & SOLAR,MARLTON NJ 08053,lotusenergy.solar,clearout,candidate_found
1527497,LPL SOLAR LLC,FORT LAUDERDALE FL 33316,lplsolar.com,clearout,candidate_found
1530369,LPL SOLAR LLC,SOUTHWEST RANCHES FL 33330,lplsolar.com,clearout,candidate_found
1529971,"LUX SOLAR, INC.",MIAMI FL 33131,inroadlight.com,clearout,candidate_found
1532488,MATCON SOLAR LLC,TAMPA FL 33603,matconsolar.com,clearout,candidate_found
1335620,MCELFRESH ROOFING AND SOLAR LLC,JACKSONVILLE FL 32258,mcelfreshroofing.com,clearout,candidate_found
0025586,MIRASOL SOLAR,NOKOMIS FL 34275,mirasolsolar.com,clearout,candidate_found
0056687,MIRASOL SOLAR,NOKOMIS FL 34275,mirasolsolar.com,clearout,candidate_found
1461089,MIRASOL SOLAR,NOKOMIS FL 34275,mirasolsolar.com,clearout,candidate_found
0057248,MIRASOL SOLAR,SARASOTA FL 34232,mirasolsolar.com,clearout,candidate_found
1337897,MIRASOL SOLAR,WHITE MARSH MD 21162,mirasolsolar.com,clearout,candidate_found
1328070,MOMENTUM SOLAR LLC,CLEARWATER FL 33763,momentumsolarinc.com,clearout,candidate_found
0057036,MOMENTUM SOLAR LLC,ORLANDO FL 32822,momentumsolarinc.com,clearout,candidate_found
1264051,"ONE-UP SOLAR CONTRACTOR, INC.",CUTLER BAY FL 33157,one-upsolar.com,clearout,candidate_found
0057117,"ONE-UP SOLAR CONTRACTOR, INC.",CUTLER BAY FL 33157,one-upsolar.com,clearout,candidate_found
1337210,PANASUN SOLAR,PEMBROKE PINES FL 33029,panasunsolar.com,clearout,candidate_found
1825200,PANASUN SOLAR,DELTONA FL 32725,panasunsolar.com,clearout,candidate_found
0057072,"PARROT SOLAR, INC",JACKSONVILLE BEACH FL 32250,parrotsolar.com,clearout,candidate_found
1326833,PASAT ROOFING AND SOLAR ENERGY,WESTON FL 33326,pasatroofingandsolarenergy.com,clearout,candidate_found
0056636,"PHOTON SOLAR, LLC",LONGWOOD FL 32750,gophotonsolar.com,clearout,candidate_found
1427638,PLATINUM PLUMBING & SOLAR LLC,FELLSMERE FL 32948,platinumplumbingsolar.com,clearout,candidate_found
0057233,POSITIVE ENERGY SOLAR LLC,FORT MYERS FL 33919,positiveenergysolar.com,clearout,candidate_found
0057344,PPM SOLAR,GAINESVILLE FL 32607,ppm.solar,clearout,candidate_found
0049744,"PV CONSTRUCTION, LLC",FORT LAUDERDALE FL 33316,constructionpv.ie,clearout,candidate_found
0057285,"RACK SOLAR, LLC",BOCA RATON FL 33432,racksolar.com,clearout,candidate_found
0057130,"REGION SOLAR, LLC",SARASOTA FL 34243,regionsolar.co,clearout,candidate_found
0056964,"REVOLUTION CONTRACTORS ROOFING AND SOLAR, LLC",NEW SMYRNA BEACH FL 32169,revolutioncontractors.com,clearout,candidate_found
1331227,"REVOLUTION CONTRACTORS ROOFING AND SOLAR, LLC",ORLANDO FL 32804,revolutioncontractors.com,clearout,candidate_found
0057019,"ROARK SOLAR, LLC",SARASOTA FL 34238,roarksolar.com,clearout,candidate_found
1458978,"ROARK SOLAR, LLC",SARASOTA FL 34238,roarksolar.com,clearout,candidate_found
0057340,SAILFISH SOLAR LLC,STUART FL 34996-6621,sailfishsolar.com,clearout,candidate_found
1331427,SECURED ROOFING AND SOLAR,TAVARES FL 32778,securedroofingandsolar.com,clearout,candidate_found
0056903,"SIMPLER SOLAR SYSTEMS, INC.",TALLAHASSEE FL 32303,simplersolar.com,clearout,candidate_found
0057018,"SIMPLER SOLAR SYSTEMS, INC.",TALLAHASSEE FL 32303,simplersolar.com,clearout,candidate_found
0056891,"SIMPLER SOLAR, LLC",TALLAHASSEE FL 32303,simplersolar.com,clearout,candidate_found
0057128,SOLAR AUTHORITY,MELBOURNE FL 32904,solarauthority.org,clearout,candidate_found
1530971,SOLAR CONSTRUCTION. LLC,MIAMI FL 33155,solarconstruction.us,clearout,candidate_found
0057177,SOLAR CONSTRUCTION. LLC,MIAMI FL 33155,solarconstruction.us,clearout,candidate_found
0057162,"SOLAR DYNAMICS, INC.",DORAL FL 33126,solardynamics.energy,clearout,candidate_found
1335573,"SOLAR DYNAMICS, INC.",DORAL FL 33126,solardynamics.energy,clearout,candidate_found
1824512,"SOLAR DYNAMICS, INC.",DORAL FL 33126,solardynamics.energy,clearout,candidate_found
0056672,SOLAR ENERGY LABS,JACKSONVILLE FL 32210,sunhomfl.com,clearout,candidate_found
0057062,SOLAR ENERGY SOLUTIONS OF AMERICA INC,CAPE CORAL FL 33904,solarenergysolutionsofamerica.com,clearout,candidate_found
1459638,SOLAR ENERGY SOLUTIONS OF AMERICA INC,CAPE CORAL FL 33904,solarenergysolutionsofamerica.com,clearout,candidate_found
0056761,SOLAR IMPACT INC,GAINESVILLE FL 32606,solarimpact.com,clearout,candidate_found
0056750,SOLAR LIGHTS & MORE,OCALA FL 34482,solarlightsandmore.com,clearout,candidate_found
0057208,SOLAR LIGHTS & MORE,HERNANDO FL 34442,solarlightsandmore.com,clearout,candidate_found
1251588,SOLAR MAX INC.,ST. PETERSBURG FL 33714,getsolarmax.com,clearout,candidate_found
0057262,"SOLAR OPTIMUM, INC.",GLENDALE CA 91204,solaroptimum.com,clearout,candidate_found
1534603,"SOLAR OPTIMUM, INC.",GLENDALE CA 91204,solaroptimum.com,clearout,candidate_found
1335355,"SOLAR OPTIMUM, INC.",GLENDALE CA 91204,solaroptimum.com,clearout,candidate_found
0057058,SOLAR SAGE CORP,KISSIMMEE FL 34741,solarsage.com,clearout,candidate_found
0057129,SOLAR SERVICE PROFESSIONALS LLC,PORT ST LUCIE FL 34952,solarserviceprofessionals.com,clearout,candidate_found
0026151,SOLAR SPECIALIST INC.,RIVERVIEW FL 33578,solarspecialistinc.com,clearout,candidate_found
0056715,SOLAR SPECIALIST INC.,RIVERVIEW FL 33578,solarspecialistinc.com,clearout,candidate_found
1335760,SOLAR SPECIALIST INC.,RIVERVIEW FL 33578,solarspecialistinc.com,clearout,candidate_found
1337871,SOLAR TECH ELEC LLC,SEMINOLE FL 33772,solartechelec.com,clearout,candidate_found
1256877,"SOLAR TREK, INC.",SAINT AUGUSTINE FL 32084,gosolartrek.com,clearout,candidate_found
0056899,"SOLAR TREK, INC.",OCALA FL 34480,gosolartrek.com,clearout,candidate_found
1460945,"SOLAR TREK, INC.",OCALA FL 34480,gosolartrek.com,clearout,candidate_found
0056719,SOLAR WATER HEATERS OF HUDSON INC,SPRING HILL FL 34609,naturecoastsolar.net,clearout,candidate_found
1458265,SOLAR WATER HEATERS OF HUDSON INC,SPRING HILL FL 34609,naturecoastsolar.net,clearout,candidate_found
0022632,SOLAR-FIT,HOLLY HILL FL 32117,mysolarfithome.com,clearout,candidate_found
0056690,SOLAR-FIT,HOLLY HILL FL 32117,mysolarfithome.com,clearout,candidate_found
0056926,SOLAR-FIT,HOLLY HILL FL 32117,mysolarfithome.com,clearout,candidate_found
0056880,SOLAR-RAY INC.,WINTER GARDEN FL 34787,solar-ray.net,clearout,candidate_found
1266050,SPECTRUM SOLAR POWER LLC,HAYDEN ID 83835,spectrumsolarpower.com,clearout,candidate_found
0057225,SPECTRUM SOLAR POWER LLC,PALM HARBOR FL 34683,spectrumsolarpower.com,clearout,candidate_found
0057074,STRATEGIC SOLAR LLC,CITRA FL 32113,strategicsolarllc.com,clearout,candidate_found
1458412,SUN SOLAR POOLS & SPAS INC,LAKE WORTH FL 33460,sunsolarpools.com,clearout,candidate_found
1330356,"SUN SOLAR POOLS & SPAS, INC",LAKE WORTH FL 33460,sunsolarpools.com,clearout,candidate_found
0057021,"SUNPATH SOLAR, LLC",JACKSONVILLE FL 32204-4256,sunpath.solar,clearout,candidate_found
0056923,TAMPA BAY SOLAR,TAMPA FL 33619,tampabaysolar.com,clearout,candidate_found
0056936,TECA SOLAR INC,COCONUT CREEK FL 33066,tecasolar.com,clearout,candidate_found
1460300,TECA SOLAR INC,COCONUT CREEK FL 33066,tecasolar.com,clearout,candidate_found
1266437,"TEPHRA SOLAR, LLC",SPANISH FORK UT 84660,tephrasolar.com,clearout,candidate_found
1260615,THE SOLAR GUYS,OCALA FL 34480,solarguysusa.com,clearout,candidate_found
1330841,THE SOLAR GUYS,OCALA FL 34480,solarguysusa.com,clearout,candidate_found
0057042,THE SOLAR GUYS,OCALA FL 34480,solarguysusa.com,clearout,candidate_found
